Numbered Topic,Topic,Subtopic,Subsubtopic,Learning Outcome,Code
015.Oscillations,Oscillations,Pendulum,,"Determine the angular frequency, frequency, and period of a simple pendulum in terms of the length of the pendulum and the acceleration due to gravity.{573}",15.4.1.1
015.Oscillations,Oscillations,Pendulum,,Define the period for a physical pendulum.{574},15.4.1.2
015.Oscillations,Oscillations,Pendulum,,Define the period for a torsional pendulum.{575},15.4.1.3
015.Oscillations,Oscillations,Damped Oscillations,,Describe the motion of damped harmonic motion.{579},15.5.1.0
015.Oscillations,Oscillations,Damped Oscillations,,Write the equations of motion for damped harmonic oscillations.{580},15.5.1.1
015.Oscillations,Oscillations,Damped Oscillations,,"Describe the motion of driven, or forced, damped harmonic motion.{581}",15.5.1.2
015.Oscillations,Oscillations,Damped Oscillations,,"Write the equations of motion for forced, damped harmonic motion. {582}",15.5.1.3
015.Oscillations,Oscillations,Forced Oscillations,,Define forced oscillations.{586},15.6.1.0
015.Oscillations,Oscillations,Forced Oscillations,,List the equations of motion associated with forced oscillations.{587},15.6.1.1
015.Oscillations,Oscillations,Forced Oscillations,,Explain the concept of resonance and its impact on the amplitude of an oscillator.{588},15.6.1.2
015.Oscillations,Oscillations,Forced Oscillations,,List the characteristics of a system oscillating in resonance. {589},15.6.1.3
015.Oscillations,Oscillations,Resonance,,Paste un-numbered outcome here,15.7.1.0
015.Oscillations,Oscillations,Resonance,,Paste un-numbered outcome here,15.7.1.1
016.Waves,Waves,Topic Outcome,,Describe the basic characteristics of wave motion.{595},16.1.1.0
016.Waves,Waves,Topic Outcome,,"Define the terms wavelength, amplitude, period, frequency, and wave speed.{596}",16.1.1.1
016.Waves,Waves,Topic Outcome,,List the different types of waves.{598},16.1.1.2
016.Waves,Waves,Topic Outcome,,"Model a wave, moving with a constant wave velocity, with a mathematical expression.{602}",16.1.1.3
016.Waves,Waves,Topic Outcome,,Calculate the velocity and acceleration of the medium.{603},16.1.1.4
016.Waves,Waves,Topic Outcome,,Show how the velocity of the medium differs from the wave velocity (propagation velocity).{604},16.1.1.5
016.Waves,Waves,Topic Outcome,,Determine the factors that affect the speed of a wave on a string.{608},16.1.1.6
016.Waves,Waves,Topic Outcome,,Write a mathematical expression for the speed of a wave on a string and generalize these concepts for other media.{609},16.1.1.7
016.Waves,Waves,Traveling Waves,,"Explain the difference between longitudinal and transverse waves, and give examples of each type.{597}",16.2.1.0
016.Waves,Waves,Traveling Waves,,Explain how the displacement of particles in different waveforms changes over time.,16.2.1.1
016.Waves,Waves,Traveling Waves,,Paste un-numbered outcome here.,16.2.1.2
016.Waves,Waves,Standing Waves,,Describe standing waves and explain how they are produced.{624},16.3.1.0
016.Waves,Waves,Standing Waves,,Describe the modes of a standing wave on a string.{625},16.3.1.1
016.Waves,Waves,Standing Waves,,Provide examples of standing waves beyond the waves on a string.{626},16.3.1.2
016.Waves,Waves,Standing Waves,,Describe resonance in a tube closed at one end and open at the other end.{653},16.3.1.3
016.Waves,Waves,Standing Waves,,Describe resonance in a tube open at both ends.{654} .{655},16.3.1.4
016.Waves,Waves,Energy of a Wave,,Explain how energy travels with a pulse or wave.{613},16.4.1.0
016.Waves,Waves,Energy of a Wave,,"Describe, using a mathematical expression, how the energy in a wave depends on the amplitude of the wave.{614}",16.4.1.1
016.Waves,Waves,Power of a Wave,,Paste un-numbered outcome here,16.5.1.0
016.Waves,Waves,Power of a Wave,,Paste un-numbered outcome here,16.5.1.1
016.Waves,Waves,Interference,,Explain how mechanical waves are reflected and transmitted at the boundaries of a medium.{618},16.6.1.0
016.Waves,Waves,Interference,,Define the terms interference and superposition.{619},16.6.1.1
016.Waves,Waves,Interference,,Find the resultant wave of two identical sinusoidal waves that differ only by a phase shift.{620},16.6.1.2
016.Waves,Waves,Interference,,Understanding of nodal/antinodal lines and their significance in wave interference patterns.,16.6.1.3
016.Waves,Waves,Interference,,Analyze the alignment of troughs along antinodal lines and the impact on the intensity of the resulting wave.,16.6.1.4
016.Waves,Waves,Interference,,Compare the intensity of the wave resulting from interference to the intensity of the individual source waves.,16.6.1.5
016.Waves,Waves,Sound,Subtopic Outcome,Explain the difference between sound and hearing.{632},16.7.1.0
016.Waves,Waves,Sound,Subtopic Outcome,Describe sound as a wave.{633},16.7.1.1
016.Waves,Waves,Sound,Subtopic Outcome,List the equations used to model sound waves.{634},16.7.1.2
016.Waves,Waves,Sound,Subtopic Outcome,Describe compression and rarefactions as they relate to sound. {635},16.7.1.3
016.Waves,Waves,Sound,Subtopic Outcome,Describe the resonant frequencies in instruments that can be modeled as a tube with symmetrical boundary conditions.{658},16.7.1.4
016.Waves,Waves,Sound,Subtopic Outcome,Describe the resonant frequencies in instruments that can be modeled as a tube with anti-symmetrical boundary conditions.{659},16.7.1.5
016.Waves,Waves,Sound,Subtopic Outcome,Explain the mechanism behind sound-reducing headphones.{652},16.7.1.6
016.Waves,Waves,Sound,Subtopic Outcome,Describe resonance in a tube closed at one end and open at the other end.{653},16.7.1.7
016.Waves,Waves,Sound,Subtopic Outcome,Describe resonance in a tube open at both ends.{654} .{655},16.7.1.8
016.Waves,Waves,Sound,Subtopic Outcome,Determine the beat frequency produced by two sound waves that differ in frequency.{663},16.7.1.9
016.Waves,Waves,Sound,Subtopic Outcome,Describe how beats are produced by musical instruments.{664},16.7.1.10
016.Waves,Waves,Sound,Subtopic Outcome,Explain the mechanism behind sonic booms.{673},16.7.1.11
016.Waves,Waves,Sound,Subtopic Outcome,Describe the difference between sonic booms and shock waves.{674},16.7.1.12
016.Waves,Waves,Sound,Subtopic Outcome,Describe a bow wake.{675},16.7.1.13
016.Waves,Waves,Sound,Speed of Sound,Explain the relationship between wavelength and frequency of sound.{639},16.7.2.0
016.Waves,Waves,Sound,Speed of Sound,Determine the speed of sound in different media.{640},16.7.2.1
016.Waves,Waves,Sound,Speed of Sound,Derive the equation for the speed of sound in air.{641},16.7.2.2
016.Waves,Waves,Sound,Speed of Sound,Determine the speed of sound in air for a given temperature. {642},16.7.2.3
016.Waves,Waves,Sound,Sound Intensity(Decibels),Define the term intensity.{646},16.7.3.0
016.Waves,Waves,Sound,Sound Intensity(Decibels),Explain the concept of sound intensity level.{647},16.7.3.1
016.Waves,Waves,Sound,Sound Intensity(Decibels),Describe how the human ear translates sound.{648},16.7.3.2
016.Waves,Waves,The Doppler Effect,,Explain the change in observed frequency as a moving source of sound approaches or departs from a stationary observer.{668},16.8.1.0
016.Waves,Waves,The Doppler Effect,,Explain the change in observed frequency as an observer moves toward or away from a stationary source of sound.{669},16.8.1.1
016.Waves,Waves,Photons,Subtopic outcome,Paste un-numbered outcome here,16.9.1.0
016.Waves,Waves,Photons,Subtopic outcome,Paste un-numbered outcome here,16.9.1.1
016.Waves,Waves,Photons,Blackbody radiation,Apply Wien’s and Stefan’s laws to analyze radiation emitted by a blackbody.,16.9.2.0
016.Waves,Waves,Photons,Blackbody radiation,Explain Planck’s hypothesis of energy quanta.,16.9.2.1
016.Waves,Waves,Photons,Photoelectric effect,Describe physical characteristics of the photoelectric effect.,16.9.3.0
016.Waves,Waves,Photons,Photoelectric effect,Explain why the photoelectric effect cannot be explained by classical physics.,16.9.3.1
016.Waves,Waves,Photons,Photoelectric effect,Describe how Einstein’s idea of a particle of radiation explains the photoelectric effect.,16.9.3.2
016.Waves,Waves,Photons,Compton effect,Describe Compton’s experiment.,16.9.4.0
016.Waves,Waves,Photons,Compton effect,Explain the Compton wavelength shift.,16.9.4.1
016.Waves,Waves,Photons,Compton effect,Describe how experiments with X-rays confirm the particle nature of radiation.,16.9.4.2
016.Waves,Waves,Photons,Bohr's atomic model,Explain the difference between the absorption spectrum and the emission spectrum of radiation emitted by atoms.,16.9.5.0
016.Waves,Waves,Photons,Bohr's atomic model,Describe the Rutherford gold foil experiment and the discovery of the atomic nucleus.,16.9.5.1
016.Waves,Waves,Photons,Bohr's atomic model,Explain the atomic structure of hydrogen.,16.9.5.2
016.Waves,Waves,Photons,Bohr's atomic model,Describe the postulates of the early quantum theory for the hydrogen atom.,16.9.5.3
016.Waves,Waves,Photons,Bohr's atomic model,Summarize how Bohr’s quantum model of the hydrogen atom explains the radiation spectrum of atomic hydrogen.,16.9.5.4
016.Waves,Waves,Photons,De Broglie’s matter waves,Describe de Broglie’s hypothesis of matter waves.,16.9.6.0
016.Waves,Waves,Photons,De Broglie’s matter waves,Explain how the de Broglie’s hypothesis gives the rationale for the quantization of angular momentum in Bohr’s quantum theory of the hydrogen atom.,16.9.6.1
016.Waves,Waves,Photons,De Broglie’s matter waves,Describe the Davisson–Germer experiment.,16.9.6.2
016.Waves,Waves,Photons,De Broglie’s matter waves,Interpret de Broglie’s idea of matter waves and how they account for electron diffraction phenomena.,16.9.6.3
016.Waves,Waves,Photons,Wave-particle duality,Identify phenomena in which electromagnetic waves behave like a beam of photons and particles behave like waves.,16.9.7.0
016.Waves,Waves,Photons,Wave-particle duality,Describe the physics principles behind electron microscopy.,16.9.7.1
016.Waves,Waves,Photons,Wave-particle duality,Summarize the evolution of scientific thought that led to the development of quantum mechanics.,16.9.7.2
016.Waves,Waves,Light,,Identify to the concept of diffraction in relation to microscopy.,16.10.1.0
016.Waves,Waves,Light,,Explore how waves bend or spread when passing through apertures or obstacles.,16.10.1.1
016.Waves,Waves,Light,,"Utilize principles such as wavelength of light, mass of electrons and neutrons, Planck's constant, and particle speed.",16.10.1.2
017.Thermodynamics,Thermodynamics,Topic Outcome,,"Define a thermodynamic system, its boundary, and its surroundings.{749}",17.1.1.0
017.Thermodynamics,Thermodynamics,Topic Outcome,,Explain the roles of all the components involved in thermodynamics.{750},17.1.1.1
017.Thermodynamics,Thermodynamics,Topic Outcome,,Link an equation of state to a system.{752},17.1.1.2
017.Thermodynamics,Thermodynamics,Topic Outcome,,Define a thermodynamic process.{766},17.1.1.3
017.Thermodynamics,Thermodynamics,Topic Outcome,,Distinguish between quasi-static and non-quasi-static processes.{767},17.1.1.4
017.Thermodynamics,Thermodynamics,Topic Outcome,,"Calculate physical quantities, such as the heat transferred, work done, and internal energy change for isothermal, adiabatic, and cyclical thermodynamic processes.{768}",17.1.1.5
017.Thermodynamics,Thermodynamics,Topic Outcome,,Define reversible and irreversible processes.{786},17.1.1.6
017.Thermodynamics,Thermodynamics,Topic Outcome,,Define a dissipative process.,17.1.1.7
017.Thermodynamics,Thermodynamics,Temperature,Subtopic Outcome,Define temperature and describe it qualitatively.{687},17.2.1.0
017.Thermodynamics,Thermodynamics,Temperature,Subtopic Outcome,Define thermal equilibrium and thermodynamic temperature.{751},17.2.1.1
017.Thermodynamics,Thermodynamics,Temperature,Thermometers,Describe several different types of thermometers.{693},17.2.2.0
017.Thermodynamics,Thermodynamics,Temperature,Thermometers,"Convert temperatures between the Celsius, Fahrenheit, and Kelvin scales.{694}",17.2.2.1
017.Thermodynamics,Thermodynamics,Thermal Equilibrium,,Explain thermal equilibrium.{688},17.3.1.0
017.Thermodynamics,Thermodynamics,Thermal Equilibrium,,Explain the zeroth law of thermodynamics.{689},17.3.1.1
017.Thermodynamics,Thermodynamics,Thermal Equilibrium,,Define thermal equilibrium and thermodynamic temperature.{751},17.3.1.2
017.Thermodynamics,Thermodynamics,Heat Transfer,Subtopic Outcome,Explain phenomena involving heat as a form of energy transfer.{704},17.4.1.0
017.Thermodynamics,Thermodynamics,Heat Transfer,Subtopic Outcome,Solve problems involving heat transfer.{705},17.4.1.1
017.Thermodynamics,Thermodynamics,Heat Transfer,Subtopic Outcome,"Explain some phenomena that involve conductive, convective, and radiative heat transfer.{715}",17.4.1.2
017.Thermodynamics,Thermodynamics,Heat Transfer,Subtopic Outcome,"Solve problems on the relationships between heat transfer, time, and rate of heat transfer.{716}",17.4.1.3
017.Thermodynamics,Thermodynamics,Heat Transfer,Subtopic Outcome,"Explain some phenomena that involve conductive, convective, and radiative heat transfer.{723}",17.4.1.4
017.Thermodynamics,Thermodynamics,Heat Transfer,Subtopic Outcome,Solve problems involving heat transfer to and from ideal monatomic gases whose volumes are held constant.{736},17.4.1.5
017.Thermodynamics,Thermodynamics,Heat Transfer,Convection,Paste un-numbered outcome here,17.4.2.0
017.Thermodynamics,Thermodynamics,Heat Transfer,Convection,Paste un-numbered outcome here,17.4.2.1
017.Thermodynamics,Thermodynamics,Heat Transfer,Conduction,Solve problems using the formulas for conduction and radiation.{717},17.4.3.0
017.Thermodynamics,Thermodynamics,Heat Transfer,Conduction,Paste un-numbered outcome here,17.4.3.1
017.Thermodynamics,Thermodynamics,Heat Transfer,Radiation,Solve problems using the formulas for conduction and radiation.{717},17.4.4.0
017.Thermodynamics,Thermodynamics,Heat Transfer,Radiation,Paste un-numbered outcome here,17.4.4.1
017.Thermodynamics,Thermodynamics,Pressure,,Paste un-numbered outcome here,17.5.1.0
017.Thermodynamics,Thermodynamics,Pressure,,Paste un-numbered outcome here,17.5.1.1
017.Thermodynamics,Thermodynamics,Thermal Expansion,,Answer qualitative questions about the effects of thermal expansion.{698},17.6.1.0
017.Thermodynamics,Thermodynamics,Thermal Expansion,,"Solve problems involving thermal expansion, including those involving thermal stress.{699}",17.6.1.1
017.Thermodynamics,Thermodynamics,Specific Heat,,Calculate the specific heat of an ideal gas for either an isobaric or isochoric process.{773},17.7.1.0
017.Thermodynamics,Thermodynamics,Specific Heat,,Estimate the change in specific heat of a gas over temperature ranges.{775},17.7.1.1
017.Thermodynamics,Thermodynamics,Calorimetry,,Solve calorimetry problems involving phase changes.{711},17.8.1.0
017.Thermodynamics,Thermodynamics,Calorimetry,,Paste un-numbered outcome here,17.8.1.1
017.Thermodynamics,Thermodynamics,Phase Changes,,Describe phase transitions and equilibrium between phases.{709},17.9.1.0
017.Thermodynamics,Thermodynamics,Phase Changes,,Solve problems involving latent heat.{710},17.9.1.1
017.Thermodynamics,Thermodynamics,Phase Changes,,Solve calorimetry problems involving phase changes.{711},17.9.1.2
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,"Use the unit of moles in relation to numbers of molecules, and molecular and macroscopic masses.{724}",17.10.1.0
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Explain the ideal gas law in terms of moles rather than numbers of molecules.{725},17.10.1.1
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Apply the van der Waals gas law to situations where the ideal gas law is inadequate.{726},17.10.1.2
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Explain the relations between microscopic and macroscopic quantities in a gas.{730},17.10.1.3
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Solve problems involving mixtures of gases.{731},17.10.1.4
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Solve problems involving the distance and time between a gas molecule’s collisions.{732},17.10.1.5
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Describe the distribution of molecular speeds in an ideal gas.{742},17.10.1.6
017.Thermodynamics,Thermodynamics,Ideal Gas,Subtopic Outcome,Find the average and most probable molecular speeds in an ideal gas.{743},17.10.1.7
017.Thermodynamics,Thermodynamics,Ideal Gas,Heat Capacity,Estimate the heat capacities of metals using a model based on degrees of freedom.{738},17.10.2.0
017.Thermodynamics,Thermodynamics,Ideal Gas,Heat Capacity,Define heat capacity of an ideal gas for a specific process.{772},17.10.2.1
017.Thermodynamics,Thermodynamics,Ideal Gas,Heat Capacity,Calculate the specific heat of an ideal gas for either an isobaric or isochoric process.{773},17.10.2.2
017.Thermodynamics,Thermodynamics,Ideal Gas,Heat Capacity,Explain the difference between the heat capacities of an ideal gas and a real gas.{774},17.10.2.3
017.Thermodynamics,Thermodynamics,Ideal Gas,Heat Capacity,Estimate the change in specific heat of a gas over temperature ranges.{775},17.10.2.4
017.Thermodynamics,Thermodynamics,Ideal Gas,Equipartition Theorem,Paste un-numbered outcome here,17.10.3.0
017.Thermodynamics,Thermodynamics,Ideal Gas,Equipartition Theorem,Paste un-numbered outcome here,17.10.3.1
017.Thermodynamics,Thermodynamics,Ideal Gas,Degrees of Freedom,Solve similar problems for non-monatomic ideal gases based on the number of degrees of freedom of a molecule.{737},17.10.4.0
017.Thermodynamics,Thermodynamics,Ideal Gas,Degrees of Freedom,Estimate the heat capacities of metals using a model based on degrees of freedom.{738},17.10.4.1
017.Thermodynamics,Thermodynamics,Ideal Gas,Adiabatic Processes,Define adiabatic expansion of an ideal gas.{779},17.10.5.0
017.Thermodynamics,Thermodynamics,Ideal Gas,Adiabatic Processes,Demonstrate the qualitative difference between adiabatic and isothermal expansions.{780},17.10.5.1
017.Thermodynamics,Thermodynamics,First Law of Thermodynamics,,State the first law of thermodynamics and explain how it is applied.{761},17.11.1.0
017.Thermodynamics,Thermodynamics,First Law of Thermodynamics,,"Explain how heat transfer, work done, and internal energy change are related in any thermodynamic process.{762}",17.11.1.1
017.Thermodynamics,Thermodynamics,First Law of Thermodynamics,,"Describe the work done by a system, heat transfer between objects, and internal energy change of a system.{756}",17.11.1.2
017.Thermodynamics,Thermodynamics,First Law of Thermodynamics,,"Calculate the work, heat transfer, and internal energy change in a simple process.{757}",17.11.1.3
017.Thermodynamics,Thermodynamics,Second Law of Thermodynamics,,State the second law of thermodynamics via an irreversible process.{787},17.12.1.0
017.Thermodynamics,Thermodynamics,Second Law of Thermodynamics,,Contrast the second law of thermodynamics statements according to Kelvin and Clausius formulations.{802},17.12.1.1
017.Thermodynamics,Thermodynamics,Second Law of Thermodynamics,,Interpret the second of thermodynamics via irreversibility.{803},17.12.1.2
017.Thermodynamics,Thermodynamics,Entropy,,Describe the meaning of entropy.{813},17.13.1.0
017.Thermodynamics,Thermodynamics,Entropy,,Calculate the change of entropy for some simple processes.{814},17.13.1.1
017.Thermodynamics,Thermodynamics,Entropy,,Interpret the meaning of entropy at a microscopic scale.{818},17.13.1.2
017.Thermodynamics,Thermodynamics,Entropy,,Calculate a change in entropy for an irreversible process of a system and contrast with the change in entropy of the universe.{819},17.13.1.3
017.Thermodynamics,Thermodynamics,Heat Engines,Subtopic Outcome,Describe the function and components of a heat engine.{791},17.14.1.0
017.Thermodynamics,Thermodynamics,Heat Engines,Subtopic Outcome,Explain the efficiency of an engine.{792},17.14.1.1
017.Thermodynamics,Thermodynamics,Heat Engines,Subtopic Outcome,Calculate the efficiency of an engine for a given cycle of an ideal gas.{793},17.14.1.2
017.Thermodynamics,Thermodynamics,Heat Engines,The Carnot Cycle,Describe the Carnot cycle with the roles of all four processes involved.{807},17.14.2.0
017.Thermodynamics,Thermodynamics,Heat Engines,The Carnot Cycle,Outline the Carnot principle and its implications.{808},17.14.2.1
017.Thermodynamics,Thermodynamics,Heat Engines,The Carnot Cycle,Demonstrate the equivalence of the Carnot principle and the second law of thermodynamics.{809},17.14.2.2
017.Thermodynamics,Thermodynamics,Refrigerators,,Describe a refrigerator and a heat pump and list their differences.{797},17.15.1.0
017.Thermodynamics,Thermodynamics,Refrigerators,,Calculate the performance coefficients of simple refrigerators and heat pumps.{798},17.15.1.1
017.Thermodynamics,Thermodynamics,Third Law of Thermodynamics,,Explain the third law of thermodynamics.{820},17.16.1.0
017.Thermodynamics,Thermodynamics,Third Law of Thermodynamics,,Paste un-numbered outcome here,17.16.1.1
018.Electrostatics,Electrostatics,Topic Outcome,,"Describe the electric force, both qualitatively and quantitatively.{840}",18.1.1.0
018.Electrostatics,Electrostatics,Topic Outcome,,Determine the direction of the electric force for different source charges.{842},18.1.1.1
018.Electrostatics,Electrostatics,Topic Outcome,,"Describe some of the many practical applications of electrostatics, including several printing technologies.{937}",18.1.1.2
018.Electrostatics,Electrostatics,Topic Outcome,,Relate these applications to Newton’s second law and the electric force.{938},18.1.1.3
018.Electrostatics,Electrostatics,Electric Charge,,Describe the concept of electric charge.{828},18.2.1.0
018.Electrostatics,Electrostatics,Electric Charge,,Explain qualitatively the force electric charge creates.{829},18.2.1.1
018.Electrostatics,Electrostatics,Electric Charge,,Explain what a continuous source charge distribution is and how it is related to the concept of quantization of charge.{853},18.2.1.2
018.Electrostatics,Electrostatics,Electric Charge,,"Describe line charges, surface charges, and volume charges.{854}",18.2.1.3
018.Electrostatics,Electrostatics,Conductors and Insulators,,Explain what a conductor is.{833},18.3.1.0
018.Electrostatics,Electrostatics,Conductors and Insulators,,Explain what an insulator is.{834},18.3.1.1
018.Electrostatics,Electrostatics,Conductors and Insulators,,List the differences and similarities between conductors and insulators.{835},18.3.1.2
018.Electrostatics,Electrostatics,Induction,,Describe the process of charging by induction.{836},18.4.1.0
018.Electrostatics,Electrostatics,Induction,,Paste un-numbered outcome here,18.4.1.1
018.Electrostatics,Electrostatics,Coulomb's Law,,Calculate the force that charges exert on each other.{841},18.5.1.0
018.Electrostatics,Electrostatics,Coulomb's Law,,Paste un-numbered outcome here,18.5.1.1
018.Electrostatics,Electrostatics,Electric Field,Subtopic Outcome,Explain the purpose of the electric field concept.{847},18.6.1.0
018.Electrostatics,Electrostatics,Electric Field,Subtopic Outcome,Describe the properties of the electric field.{848},18.6.1.1
018.Electrostatics,Electrostatics,Electric Field,Subtopic Outcome,Correctly describe and apply the superposition principle for multiple source charges.{843},18.6.1.2
018.Electrostatics,Electrostatics,Electric Field,Subtopic Outcome,Calculate the field of a collection of source charges of either sign.{849},18.6.1.3
018.Electrostatics,Electrostatics,Electric Field,Subtopic Outcome,Calculate the field of a continuous source charge distribution of either sign.{855},18.6.1.4
018.Electrostatics,Electrostatics,Electric Field,Electric Field Lines,Explain the purpose of an electric field diagram.{859},18.6.2.0
018.Electrostatics,Electrostatics,Electric Field,Electric Field Lines,Describe the relationship between a vector diagram and a field line diagram.{860},18.6.2.1
018.Electrostatics,Electrostatics,Electric Field,Electric Field Lines,Explain the rules for creating a field diagram and why these rules make physical sense.{861},18.6.2.2
018.Electrostatics,Electrostatics,Electric Field,Electric Field Lines,Sketch the field of an arbitrary source charge.{862},18.6.2.3
018.Electrostatics,Electrostatics,Electric Dipoles,,Describe an electric dipole.{917},18.7.1.0
018.Electrostatics,Electrostatics,Electric Dipoles,,Describe a permanent dipole.{866},18.7.1.1
018.Electrostatics,Electrostatics,Electric Dipoles,,Describe an induced dipole.{867},18.7.1.2
018.Electrostatics,Electrostatics,Electric Dipoles,,Define dipole moment.{918},18.7.1.3
018.Electrostatics,Electrostatics,Electric Dipoles,,Define and calculate an electric dipole moment.{868},18.7.1.4
018.Electrostatics,Electrostatics,Electric Dipoles,,Explain the physical meaning of the dipole moment.{869},18.7.1.5
018.Electrostatics,Electrostatics,Electric Flux,,Define the concept of flux.{875},18.8.1.0
018.Electrostatics,Electrostatics,Electric Flux,,Describe electric flux.{876},18.8.1.1
018.Electrostatics,Electrostatics,Electric Flux,,Calculate electric flux for a given situation.{877},18.8.1.2
018.Electrostatics,Electrostatics,Gauss's Law,,State Gauss’s law.{881},18.9.1.0
018.Electrostatics,Electrostatics,Gauss's Law,,Explain the conditions under which Gauss’s law may be used.{882},18.9.1.1
018.Electrostatics,Electrostatics,Gauss's Law,,Apply Gauss’s law in appropriate systems.{883},18.9.1.2
018.Electrostatics,Electrostatics,Gauss's Law,,"Explain what spherical, cylindrical, and planar symmetry are.{887}",18.9.1.3
018.Electrostatics,Electrostatics,Gauss's Law,,Recognize whether or not a given system possesses one of these symmetries.{888},18.9.1.4
018.Electrostatics,Electrostatics,Gauss's Law,,Apply Gauss’s law to determine the electric field of a system with one of these symmetries.{889},18.9.1.5
018.Electrostatics,Electrostatics,Conductors in Electrostatics Equilibrium,,Describe the electric field within a conductor at equilibrium.{893},18.10.1.0
018.Electrostatics,Electrostatics,Conductors in Electrostatics Equilibrium,,Describe the electric field immediately outside the surface of a charged conductor at equilibrium.{894},18.10.1.1
018.Electrostatics,Electrostatics,Conductors in Electrostatics Equilibrium,,"Explain why if the field is not as described in the first two objectives, the conductor is not at equilibrium.{895}",18.10.1.2
018.Electrostatics,Electrostatics,Electric Potential,Subtopic Outcome,Define the work done by an electric force.{901},18.11.1.0
018.Electrostatics,Electrostatics,Electric Potential,Subtopic Outcome,"Define electric potential, voltage, and potential difference.{907}",18.11.1.1
018.Electrostatics,Electrostatics,Electric Potential,Subtopic Outcome,Define the electron-volt.{908},18.11.1.2
018.Electrostatics,Electrostatics,Electric Potential,Subtopic Outcome,Describe systems in which the electron-volt is a useful unit.{910},18.11.1.3
018.Electrostatics,Electrostatics,Electric Potential,Subtopic Outcome,Apply work and potential energy in systems with electric charges.{903},18.11.1.4
018.Electrostatics,Electrostatics,Electric Potential,Subtopic Outcome,Apply conservation of energy to electric systems.{911},18.11.1.5
018.Electrostatics,Electrostatics,Electric Potential,Electric Potential Energy,Define electric potential energy.{902},18.11.2.0
018.Electrostatics,Electrostatics,Electric Potential,Electric Potential Energy,Calculate electric potential and potential difference from potential energy and electric field.{909},18.11.2.1
018.Electrostatics,Electrostatics,Electric Potential,Electric Potential Energy,Calculate the potential due to a point charge.{915},18.11.2.2
018.Electrostatics,Electrostatics,Electric Potential,Electric Potential Energy,Calculate the potential of a system of multiple point charges.{916},18.11.2.3
018.Electrostatics,Electrostatics,Electric Potential,Electric Potential Energy,Calculate the potential of a continuous charge distribution.{919},18.11.2.4
018.Electrostatics,Electrostatics,Electric Potential,Potential Difference,Calculate electric potential and potential difference from potential energy and electric field.{909},18.11.3.0
018.Electrostatics,Electrostatics,Electric Potential,Potential Difference,Paste un-numbered outcome here,18.11.3.1
018.Electrostatics,Electrostatics,Electric Potential,Equipotential Surfaces,Define equipotential surfaces and equipotential lines.{929},18.11.4.0
018.Electrostatics,Electrostatics,Electric Potential,Equipotential Surfaces,Explain the relationship between equipotential lines and electric field lines.{930},18.11.4.1
018.Electrostatics,Electrostatics,Electric Potential,Equipotential Surfaces,Map equipotential lines for one or two point charges.{931},18.11.4.2
018.Electrostatics,Electrostatics,Electric Potential,Equipotential Surfaces,Describe the potential of a conductor.{932},18.11.4.3
018.Electrostatics,Electrostatics,Electric Potential,Equipotential Surfaces,Compare and contrast equipotential lines and elevation lines on topographic maps.{933},18.11.4.4
018.Electrostatics,Electrostatics,Electric Potential,Connecting Potential and Field,Explain how to calculate the electric field in a system from the given potential.{923},18.11.5.0
018.Electrostatics,Electrostatics,Electric Potential,Connecting Potential and Field,Calculate the electric field in a given direction from a given potential.{924},18.11.5.1
018.Electrostatics,Electrostatics,Electric Potential,Connecting Potential and Field,Calculate the electric field throughout space from a given potential.{925},18.11.5.2
019.Magnetism,Magnetism,Topic Outcome,,Explain attraction and repulsion by magnets.{1054},19.1.1.0
019.Magnetism,Magnetism,Topic Outcome,,Describe the historical and contemporary applications of magnetism.{1055},19.1.1.1
019.Magnetism,Magnetism,Topic Outcome,,Explain how a mass spectrometer works to separate charges.{1086},19.1.1.2
019.Magnetism,Magnetism,Topic Outcome,,Explain how a cyclotron works.{1087},19.1.1.3
019.Magnetism,Magnetism,Magnetic Field,Subtopic Outcome,Define the magnetic field based on a moving charge experiencing a force.{1059},19.2.1.0
019.Magnetism,Magnetism,Magnetic Field,Subtopic Outcome,Solve for the electric field based on a changing magnetic flux in time.{1149},19.2.1.1
019.Magnetism,Magnetism,Magnetic Field,Subtopic Outcome,Explain how energy can be stored in a magnetic field.{1187},19.2.1.2
019.Magnetism,Magnetism,Magnetic Field,Subtopic Outcome,Derive the equation for energy stored in a coaxial cable given the magnetic energy density.{1188},19.2.1.3
019.Magnetism,Magnetism,Magnetic Field,Subtopic Outcome,"Sketch the magnetic field created from a thin, straight wire by using the second right-hand rule.{1100}",19.2.1.4
019.Magnetism,Magnetism,Magnetic Field,Magnetic Field Lines,Sketch magnetic field lines to understand which way the magnetic field points and how strong it is in a region of space.{1061},19.2.2.0
019.Magnetism,Magnetism,Magnetic Field,Magnetic Field Lines,Paste un-numbered outcome here,19.2.2.1
